Instance Name; Instance ID, AWS Region
SC-PROD-EW1-A_LocalGroverContainer_i-e03223ad;i-e03223ad;
SC-LABS_ActionsWorker_i-31931453;i-31931453;
SC-PROD-AN1-B_PDFWorker_i-06d23f02;i-06d23f02;
SC-STAGE-UE1-A_ServiceContainer_i-82ed19e1;i-82ed19e1;
SC-PROD-UE1-B_KulerWorker_i-ee8e8f87;i-ee8e8f87;
SC-PROD-EW1-B_VideoWorker_i-586d4c15;i-586d4c15;
SC-PROD-UE1-B_CombinePDFLinuxWorker_i-e29fc383;i-e29fc383;
SC-STAGE-EW1-A_ServiceContainer_i-30031a7d;i-30031a7d;
SC-STAGE-EW1-A_STDWorker_i-ea4543a7;i-ea4543a7;
SC-PROD-EW1-B_VideoWorker_i-a07422ed;i-a07422ed;
SC-PROD-UE1-B_ExportPDFWorker_i-42cd6b21;i-42cd6b21;
Test_Zabbix_proxy_ANS;i-9995dff6;
SC-DEV-PERMANENT_Solr4-stfricke8;i-256d7554;
SC-PROD-EW1-A_OscarContainer_i-68776725;i-68776725;
SC-DEV-QE1_ServiceContainer_i-8e8a72e4;i-8e8a72e4;
SC-STAGE-EW1-A_ContentExtractionWorker_i-884543c5;i-884543c5;
MONGO-SC-STAGE-EW1-PERMANENT_MongoDB-RS07N03_i-1e792853;i-1e792853;
SC-PROD-UE1-B_ExportPDFWorker_i-c2e484a7;i-c2e484a7;
SC-PROD-EW1-A_ServiceContainer_i-0677674b;i-0677674b;
SC-STAGE-EW1-A_ServiceContainer_i-d000199d;i-d000199d;
SC-STAGE-EW1-A_STDWorker_i-04424449;i-04424449;
SC-PROD-UE1-B_CreatePDFWorker-IMG_i-ecbc378d;i-ecbc378d;
MONGO-SC-PROD-UE1-PERMANENT_MongoDB-RS03N03_i-c400a2a5;i-c400a2a5;
SC-STAGE-UE1-A_ServiceContainer_i-3e4a6852;i-3e4a6852;
SC-PROD-UE1-B_KulerWorker_i-7494f51f;i-7494f51f;
SC-DEV-QE1_CRWorker_i-61411b0c;i-61411b0c;
SC-PROD-AN1-B_IDWorker_i-36b8e534;i-36b8e534;
